material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-4044,ErAgSe2,7.224599801,-5.033074441,2.88274168,0,1.2801,18.90871168,ErAgSe2,905.581,600,4559.13,200,0.864747,100,0.026379622
mp-18789,TlCo(CO)4,3.287635743,-7.390297808,-0.17907075,0.371980353,2.9854,12.25466696,TlCo(CO)4,1225.56,1000,454.25,100,0.0524881,100,0.105745775
mp-23562,KIO4,3.449424231,-4.907823063,-0.42471356,0,2.3492,6.339515281,KIO4,1327.75,800,230.233,100,0.033506,100,0.082121362
mp-567503,PbI2,5.134591412,-3.174443515,1.02768837,0.000194094,2.4455,15.9091807,PbI2,1221.92,900,1130.42,400,0.169587,100,0.094458141
mp-28719,Ba(AuF4)2,5.801833016,-4.371535525,-2.19737877,0,2.4882,6.430311597,Ba(AuF4)2,1283.54,800,270.536,100,0.0133318,700,0.362621549
mp-18837,KSc(MoO4)2,3.020058479,-8.241884931,-1.28158445,0,3.4136,9.548276217,KSc(MoO4)2,1288.34,1300,895.581,100,0.151602,100,0.099708164
mp-14501,Ba(As3Pt2)2,9.949197858,-5.587025596,5.33771477,0,0.1901,30.99011086,Ba(As3Pt2)2,701.553,100,9613.86,1300,1.42557,100,0.033752039
mp-10341,SrGeTeO6,5.052851231,-6.62281138,1.70480685,0,2.9532,10.01295502,SrGeTeO6,1324.41,1000,447.809,100,0.0615,100,0.103901636
mp-23474,AgBi3S5,6.449788674,-4.493420732,4.42257898,0,0.5262,211.1263443,AgBi3S5,859.046,300,2852.14,100,0.526381,100,0.013553517
mp-752753,SbO2F,5.43488798,-5.961926158,2.93194669,0.018391367,1.4384,12.32532414,SbO2F,1257.6,500,507.974,100,0.0865292,100,0.044059588
mp-6599,KNb(CuSe2)2,4.449125641,-5.141705398,1.93821768,0,1.4228,20.03491705,KNb(CuSe2)2,1092.98,600,2601.45,100,0.500601,100,0.033667954
mp-555014,Rb2MnF5,3.300940005,-5.558675035,-0.98549271,0,0.9596,10.38769574,Rb2MnF5,1017.45,500,1638.86,100,0.329174,100,0.024457894
mp-8176,RbTlO2,7.592668816,-4.633846817,2.73293453,0,0.8462,15.38887916,RbTlO2,1207.62,400,1720.64,100,0.397856,100,0.025653964
mp-27362,Nb(SCl)2,3.040444404,-5.872545882,2.2955644,0,1.5102,5.730935273,Nb(SCl)2,1140.79,500,736.608,100,0.126561,100,0.035943844
mp-672,CdS,4.575652564,-3.413506895,0.90711455,0,1.125,9.982347543,CdS,1067.21,500,2097.79,100,0.411442,100,0.02755686
mp-17123,Si2Os,9.484515397,-7.761636227,9.39199799,0,0.6497,33.08928278,Si2Os,855.564,300,5486.19,200,1.26019,100,0.012961928
mp-8946,TlBS2,5.171493693,-5.044393666,3.36859046,0,1.759,19.39570876,TlBS2,1175.84,700,1470.36,100,0.223628,100,0.055464488
mp-676002,Ba2PrF7,4.961596985,-6.418441114,-1.36024062,0.044637905,6.2167,19.73045012,Ba2PrF7,1317.12,1300,210.308,100,0.0155583,600,0.31794564
mp-556699,Na2PHO3,2.353421955,-5.918124222,0.34777751,0,5.5817,5.843391263,Na2PHO3,1280.5,1300,289.797,100,0.0325137,900,0.227873084
mp-31306,C2O3F2,1.798560162,-7.055898061,-3.12218265,0.164686057,5.2637,2.461572583,C2O3F2,1359.63,1300,143.684,100,0.00613119,1300,0.79295294
mp-556296,BaS3,3.483683098,-4.99106,3.09236233,0.026024411,1.0473,13.69730896,BaS3,1101.8,400,1682.65,100,0.262707,100,0.031626961
mp-37995,Ti3Zn2O8,4.450025178,-7.951753704,2.19141949,0.088172019,1.8044,35.76277497,Ti3Zn2O8,1210.82,700,1398.87,100,0.251288,100,0.04979501
mp-10368,CoPSe,6.274965979,-5.960383141,6.7950874,0,0.6371,30.14184262,CoPSe,917.941,300,5148.99,100,1.11708,100,0.013164848
mp-567601,Sr4CN4,4.024837406,-6.326724353,2.74135067,0,1.1703,18.09362075,Sr4CN4,1184.87,500,626.443,100,0.103385,100,0.040368444
mp-559798,NiF2,4.655344723,-5.520380903,0.401624,0,4.9116,5.20394308,NiF2,875.748,100,8178.16,1300,0.123266,100,0.517416655
mp-14638,Rb2LiGaF6,4.023988983,-4.928075961,-2.47770022,0,6.066,8.367348097,Rb2LiGaF6,1354.68,1300,348.791,100,0.0774302,100,0.084061691
mp-697921,Mg5H8O9,2.39963053,-5.72583038,1.45197236,0.000156562,3.5747,7.339976259,Mg5H8O9,1322.39,900,832.193,500,0.122522,100,0.120781075
mp-690544,Ga2FeO4,5.684689332,-6.966845545,3.53324469,0,0.5741,11.99306183,Ga2FeO4,1199.43,200,2064.96,1300,0.0391939,100,0.822131895
mp-31468,LiCaN,2.335579398,-4.852313583,2.12837861,0,1.3785,13.47550181,LiCaN,1205.57,600,1175.23,100,0.226651,100,0.040871316
mp-675101,Ca5NbN5,3.286651751,-6.82174194,3.20094127,0,0.5196,17.41591218,Ca5NbN5,1061.03,300,1173.25,100,0.264158,100,0.016948476
mp-22512,Sr2In2O5,5.533175451,-6.224004147,3.52945438,0.029024471,0.9973,14.6555115,Sr2In2O5,976.461,300,3367.62,100,0.503723,100,0.02160676
mp-556372,CaSO4,2.47757509,-6.988515551,0.15006781,0.002893785,5.674,6.804214803,CaSO4,1263.1,1300,680.123,100,0.12832,100,0.085988105
mp-8207,Zn(PtO2)3,10.60862176,-6.022769541,4.94714268,0,0.3047,18.59989981,Zn(PtO2)3,962.871,100,16344.4,1300,0.610943,100,0.252216967
mp-9562,LiBeAs,3.457550891,-3.92111995,3.58660746,0,1.6573,16.12053904,LiBeAs,999.438,500,9141.04,200,1.26683,100,0.039089265
mp-607953,FeSeBr7,3.446539748,-3.333857194,-0.40226838,0,0.0864,10.86193017,FeSeBr7,1088.19,400,979.639,100,0.142241,100,0.033172677
mp-559270,RbBa4Sb3O,4.892431149,-4.324367696,2.87693709,0,0.9417,16.93978331,RbBa4Sb3O,995.961,400,2575.41,100,0.618145,100,0.016810107
mp-34116,Tm2MgS4,5.871984239,-5.95308874,4.36074785,0.100445911,2.3768,24.7625931,Tm2MgS4,1164.57,1000,2337.44,100,0.432701,100,0.059599628
mp-625112,H8PtO6,4.347820094,-5.334535194,1.07559369,0.069469822,1.5662,40.57869996,H8PtO6,1183.78,500,554.883,100,0.0860585,100,0.042877181
mp-555359,KMnF3,3.259562483,-6.222539082,0.63139417,0.000179502,2.7802,9.96218547,KMnF3,1155.32,1200,2362.77,100,0.392796,100,0.076201856
mp-23486,RbNiCl3,3.246404951,-4.01275916,1.42430059,0,0.7089,10.27909403,RbNiCl3,1064.72,300,924.285,200,0.156229,100,0.027280031
mp-6026,Na2Mg(CO3)2,2.636118809,-7.018298192,1.33720201,0,4.4192,7.627923413,Na2Mg(CO3)2,1290.66,1300,255.933,100,0.00667593,1100,1.082322682
